Starting Yield,5 Yr. Return
7.98,3.85
7.88,4.09
7.87,3.23
8.25,4.15
8.1,3.81
7.98,3.16
7.79,2.36
7.66,2.07
7.52,3.01
7.14,4.21
6.99,3.05
7.5,3.58
7.51,3.9
7.49,4.01
7.44,4.4
7.49,4.59
7.37,3.97
7.56,4.86
7.55,5.78
7.69,6.62
7.94,7.84
7.86,7.86
8.04,8.38
8.21,8.47
8.28,9
8.36,8.99
8.47,9.56
8.69,9.37
8.89,9.4
8.85,8.63
8.74,8.44
8.89,9.16
9.39,9.54
9.42,9.58
9.8,9.83
9.52,9.88
9.72,9.86
9.64,9.38
9.79,9.38
9.56,8.28
9.24,8.09
9.45,9.04
9.73,9.46
10.08,10.21
11.71,12.53
11.09,12.28
11.19,12.55
11.93,13.76
13.82,14.68
14.1,15.12
11.35,13.14
10.34,13.25
10.18,13.06
10.74,13.46
11.95,14.71
12.43,15.09
13.13,15.84
13.53,16.43
13.03,16.51
13.28,16.63
13.92,17.98
13.64,18.15
14.74,19.14
14.31,17.84
14.53,18.51
15.45,19.18
16.3,20.28
16.5,20.06
15.23,19.04
13.32,17.43
14.64,18.42
14.83,18.6
14.64,18.31
14.7,17.9
14.33,16.6
14.13,16.14
14.94,16.83
14.04,15.83
12.96,14.48
12.29,13.09
11.27,12.71
11.23,12.67
10.95,12.53
11.05,13.27
10.64,12.9
10.88,12.63
10.46,11.89
10.96,12.03
11.22,12.54
11.97,12.97
12.05,12.87
11.48,12.64
11.63,12.98
11.61,12.45
11.79,12.43
11.54,12.29
11.88,12.25
12.4,12.6
12.69,13.11
13.78,14.42
13.77,14.82
13.1,14.29
12.98,13.57
12.65,13.15
11.86,12.76
11.55,12.58
11.37,12.31
11.1,11.54
11.77,12.07
11.53,11.64
11.22,10.98
10.28,10.5
10.19,10.62
10.48,11
10.28,10.29
10.33,10.34
10.08,10.16
9.74,10.1
9.31,9.78
9.34,9.93
8.82,9.27
8.32,8.75
8.27,8.87
8.69,9.42
8.31,8.84
8.07,8.95
7.63,8.88
7.93,9.54
7.76,9.47
7.67,9.36
7.75,9.92
7.62,9.31
7.64,9.31
7.83,9.28
8.55,10.05
8.78,10.55
8.64,10.55
8.77,11.01
9.19,11.36
9.76,12.1
9.16,11.02
9.16,10.85
9.08,10.9
8.53,10.55
8.44,10.68
8.76,10.98
8.98,11.25
9.32,11.43
9.01,11.3
9.28,11.54
9.52,11.87
9.22,11.43
9.01,11.1
9.48,11.18
9.68,11.28
9.54,11.26
9.87,11.03
10,10.38
